"REF_DATE","GEO","DGUID","Class of operation","Rank and number of movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Total Canadian airports","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501705","1.1.2","4997067","","","","0"
"1997","Total Canadian airports","","Itinerant movements","Number of movements","Number","223","units ","0","v41501706","1.2.2","3313762","","","","0"
"1997","Total Canadian airports","","Local movements","Number of movements","Number","223","units ","0","v41501707","1.3.2","1683305","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207261","1010.1.2","128808","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Itinerant movements","Number of movements","Number","223","units ","0","v44207262","1010.2.2","83026","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Local movements","Number of movements","Number","223","units ","0","v44207263","1010.3.2","45782","","","","0"
"1997","Gander International, Newfoundland and Labrador","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501756","10.1.1","39","","","","0"
"1997","Gander International, Newfoundland and Labrador","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501757","10.1.2","53097","","","","0"
"1997","Gander International, Newfoundland and Labrador","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501758","10.2.1","31","","","","0"
"1997","Gander International, Newfoundland and Labrador","","Itinerant movements","Number of movements","Number","223","units ","0","v41501759","10.2.2","35395","","","","0"
"1997","Gander International, Newfoundland and Labrador","","Local movements","Rank of movements","Number","223","units ","0","v41501760","10.3.1","34","","","","0"
"1997","Gander International, Newfoundland and Labrador","","Local movements","Number of movements","Number","223","units ","0","v41501761","10.3.2","17702","","","","0"
"1997","St. John's International, Newfoundland and Labrador","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501882","31.1.1","27","","","","0"
"1997","St. John's International, Newfoundland and Labrador","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501883","31.1.2","75711","","","","0"
"1997","St. John's International, Newfoundland and Labrador","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501884","31.2.1","23","","","","0"
"1997","St. John's International, Newfoundland and Labrador","","Itinerant movements","Number of movements","Number","223","units ","0","v41501885","31.2.2","47631","","","","0"
"1997","St. John's International, Newfoundland and Labrador","","Local movements","Rank of movements","Number","223","units ","0","v41501886","31.3.1","23","","","","0"
"1997","St. John's International, Newfoundland and Labrador","","Local movements","Number of movements","Number","223","units ","0","v41501887","31.3.2","28080","","","","0"
"1997","Nova Scotia","2016A000212","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207264","1012.1.2","167569","","","","0"
"1997","Nova Scotia","2016A000212","Itinerant movements","Number of movements","Number","223","units ","0","v44207265","1012.2.2","101962","","","","0"
"1997","Nova Scotia","2016A000212","Local movements","Number of movements","Number","223","units ","0","v44207266","1012.3.2","65607","","","","0"
"1997","Halifax/Robert L. Stanfield International, Nova Scotia","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501762","11.1.1","9","","","","0"
"1997","Halifax/Robert L. Stanfield International, Nova Scotia","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501763","11.1.2","167569","","","","0"
"1997","Halifax/Robert L. Stanfield International, Nova Scotia","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501764","11.2.1","9","","","","0"
"1997","Halifax/Robert L. Stanfield International, Nova Scotia","","Itinerant movements","Number of movements","Number","223","units ","0","v41501765","11.2.2","101962","","","","0"
"1997","Halifax/Robert L. Stanfield International, Nova Scotia","","Local movements","Rank of movements","Number","223","units ","0","v41501766","11.3.1","7","","","","0"
"1997","Halifax/Robert L. Stanfield International, Nova Scotia","","Local movements","Number of movements","Number","223","units ","0","v41501767","11.3.2","65607","","","","0"
"1997","New Brunswick","2016A000213","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207267","1013.1.2","79670","","","","0"
"1997","New Brunswick","2016A000213","Itinerant movements","Number of movements","Number","223","units ","0","v44207268","1013.2.2","46550","","","","0"
"1997","New Brunswick","2016A000213","Local movements","Number of movements","Number","223","units ","0","v44207269","1013.3.2","33120","","","","0"
"1997","Moncton/Greater Moncton International, New Brunswick","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501798","17.1.1","25","","","","0"
"1997","Moncton/Greater Moncton International, New Brunswick","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501799","17.1.2","79670","","","","0"
"1997","Moncton/Greater Moncton International, New Brunswick","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501800","17.2.1","26","","","","0"
"1997","Moncton/Greater Moncton International, New Brunswick","","Itinerant movements","Number of movements","Number","223","units ","0","v41501801","17.2.2","46550","","","","0"
"1997","Moncton/Greater Moncton International, New Brunswick","","Local movements","Rank of movements","Number","223","units ","0","v41501802","17.3.1","21","","","","0"
"1997","Moncton/Greater Moncton International, New Brunswick","","Local movements","Number of movements","Number","223","units ","0","v41501803","17.3.2","33120","","","","0"
"1997","Quebec","2016A000224","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207270","1024.1.2","721239","","","","0"
