OccNo,OccAcID,RegistrationNo,RegCountry,YearManufacture,MaxTakeOffWeight,WeightCategory,AircraftType,AircraftMake,AircraftModel,Organization,OperatorType,CARSubpart,StateOperator,OperationType,Departure,Destination,DamageLevel,PRODUCTION_DT
A04A0003,A04A0003_1,C-FRKG,CANADA,1970,2948,2251-5700,AEROPLANE,PIPER,PA-31,CAPITAL AIRWAYS INC.,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,KGBR BANGOR,CYFC FREDERICTON,NONE,2019-03-29T13:28:51
A04A0003,A04A0003_2,,CANADA,,,5701-27000,AEROPLANE,CANADAIR,CL-65,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYFC FREDERICTON,CYYZ TORONTO/LESTER B. PEARSON,NONE,2019-03-29T13:28:51
A04A0005,A04A0005_1,C-GSAB,CANADA,1980,9298,5701-27000,HELICOPTER,SIKORSKY,S-61N,CANADIAN HELICOPTERS,COMMERCIAL,702 - AERIAL WORK,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,OFFSHORE OIL PLATFORM,NONE,2019-03-29T13:28:51
A04A0006,A04A0006_1,C-FDST,CANADA,1990,73500,27001-272000,AEROPLANE,AIRBUS,A320-211,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYYT ST. JOHN`S INTL,NONE,2019-03-29T13:28:51
A04A0007,A04A0007_1,C-GMME,CANADA,1975,1043,0-2250,AEROPLANE,CESSNA,172M,MANAN AIR SERVICES INC,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CCN2 GRAND MANAN,"PENNFIELD, NB",SUBSTANTIAL,2019-03-29T13:28:51
A04A0008,A04A0008_1,N59CF,UNITED STATES,,20092,5701-27000,AEROPLANE,DASSAULT-BREGUET,FALCON 900,COMPASS FOODS INC,CORPORATE,N/A,N/A,BUSINESS,WHITE PLAINS NY,EDDL - DUSSELDORF,NONE,2019-03-29T13:28:51
A04A0009,A04A0009_1,N717CK,UNITED STATES,1969,334750,OVER 272001,AEROPLANE,BOEING,747-100,CONNIE KALITTA SERVICES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,"KEWR, NEWARK","EHAM, SCHIPOL",NONE,2019-03-29T13:28:51
A04A0011,A04A0011_1,C-FADK,CANADA,1992,15649,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-100,JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYYG CHARLOTTETOWN ARPT,NONE,2019-03-29T13:28:51
A04A0014,A04A0014_1,C-FLZA,CANADA,1992,6033,5701-27000,AEROPLANE,CESSNA,550,TRANSPORTS CANADA,STATE,N/A,PROVINCIAL,AIR TRANSPORT,CYQB QUEBEC/JEAN LESAGE INTL,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0015,A04A0015_1,C-FWRR,CANADA,1996,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON INTL,CYFC FREDERICTON,NONE,2019-03-29T13:28:51
A04A0018,A04A0018_1,C-GCJZ,CANADA,1979,95027,27001-272000,AEROPLANE,BOEING,727-200,CARGOJET AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYMX MONTREAL INTL ( MIRABEL),,2019-03-29T13:28:51
A04A0020,A04A0020_1,C-GSAB,CANADA,1980,9298,5701-27000,HELICOPTER,SIKORSKY,S-61N,CANADIAN HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,OFFSHORE OIL PLATFORM,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0025,A04A0025_1,N354TC,UNITED STATES,1996,19550,5701-27000,AEROPLANE,CANADAIR,CL-600-2B16 (CHALLENGER 604),,PRIVATE,,N/A,BUSINESS,CYQX GANDER INTL,LFPB LE BOURGET INTL,NONE,2019-03-29T13:28:51
A04A0026,A04A0026_1,C-GMFF,CANADA,2003,750,0-2250,AEROPLANE,DIAMOND,DA20-C1,MONCTON FLIGHT COLLEGE,OTHER,N/A,N/A,TRAINING,CYQM MONCTON/GREATER MONCTON INTL,CYQM MONCTON/GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A04A0026,A04A0026_2,C-GTDX,CANADA,2002,70001,27001-272000,AEROPLANE,AIRBUS,A319-100,SKYSERVICE,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"MDPP PUERTO PLATA, DOMNICAN REPUBLIC",CYQM MONCTON/GREATER MONCTON INTL,,2019-03-29T13:28:51
A04A0031,A04A0031_1,C-GCFO,CANADA,1985,2500,2251-5700,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM (MBB),BO 105 S,TRANSPORT CANADA,STATE,N/A,PROVINCIAL,OTHER,"CYQX GANDER INTL, 42 NM E",CYYT ST. JOHN'S INTL,NONE,2019-03-29T13:28:51
A04A0033,A04A0033_1,C-FXAL,CANADA,1985,1950,0-2250,HELICOPTER,AEROSPATIALE,AS 350 B,UNIVERSAL HELICOPTERS NEWFOUNDLAND,COMMERCIAL,703 - AIR TAXI,N/A,FERRY,BLANC-SABLON,CYYR GOOSE BAY,SUBSTANTIAL,2019-03-29T13:28:51
A04A0041,A04A0041_1,C-FWSO,CANADA,2004,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYUL MONTREAL INTL ARPT,CYHZ HALIFAX INTL ARPT,NONE,2019-03-29T13:28:51
A04A0042,A04A0042_1,C-GIMN,CANADA,1980,4763,2251-5700,HELICOPTER,SIKORSKY,S-76A,CANADIAN HELICOPTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYQY - SYDNEY,NONE,2019-03-29T13:28:51
A04A0042,A04A0042_2,N757CE,UNITED STATES,1994,,5701-27000,AEROPLANE,BEECH,400A BEECHJET,GRAND CASINOS INC,CORPORATE,N/A,N/A,BUSINESS,KMSS - MESSENA INTL,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0043,A04A0043_1,C-GTDS,CANADA,,70001,27001-272000,AEROPLANE,AIRBUS,A319,SKYSERVICE AIRLINES,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"VARADERO, CUBA",CYHZ HALIFAX INTL,MINOR,2019-03-29T13:28:51
A04A0045,A04A0045_1,C-FTIG,CANADA,1972,8618,5701-27000,HELICOPTER,SIKORSKY,S-61N,COUGAR HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYT ST. JOHN`S INTL,"GLOMAR OIL RIG, GRAND BANKS",NONE,2019-03-29T13:28:51
A04A0046,A04A0046_1,N73544,UNITED STATES,1955,60454,27001-272000,AEROPLANE,LOCKHEED,L-049/749/1049 (CONST/SUPER CONST/STARLINER),,PRIVATE,,N/A,FERRY,CYJT STEPHENVILLE,CYJT STEPHENVILLE,NONE,2019-03-29T13:28:51
A04A0049,A04A0049_1,,UNITED STATES,,247200,27001-272000,AEROPLANE,BOEING,777-200,AMERICAN AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,JOHN F KENNEDY (KJFK),HEATHROW (EGLL),NONE,2019-03-29T13:28:51
A04A0050,A04A0050_1,C-FMPH,CANADA,2003,2250,0-2250,HELICOPTER,AEROSPATIALE,AS 350 B3,GOVERNMENT OF CANADA ROYAL CANADIAN MOUNTED POLICE,STATE,N/A,PROVINCIAL,POLICE,TRACADIE,TRACADIE,SUBSTANTIAL,2019-03-29T13:28:51
A04A0051,A04A0051_1,C-GSKN,CANADA,1989,7530,5701-27000,AEROPLANE,BEECH,1900C,SKYLINK EXPRESS INC,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYQM MONCTON,NONE,2019-03-29T13:28:51
A04A0052,A04A0052_1,C-GGGM,CANADA,1983,2400,2251-5700,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM (MBB),BO 105 S,CANADIAN COAST GUARD,STATE,N/A,PROVINCIAL,AIR TRANSPORT,SHIPPEGAN,CYYG CHARLOTTETOWN ARPT,NONE,2019-03-29T13:28:51
A04A0053,A04A0053_1,C-GTCH,CANADA,1983,8600,5701-27000,HELICOPTER,AEROSPATIALE,AS 332 L,COUGAR HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYT ST. JOHN'S INTL,HIBERNIA OIL PRODUCTION PLATFORM,NONE,2019-03-29T13:28:51
A04A0054,A04A0054_1,N18101,UNITED STATES,2002,22000,5701-27000,AEROPLANE,EMBRAER,EMB-145,CONTINENTAL EXPRESS,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KEWR NEWARK INTL. APRT,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0056,A04A0056_1,,UNITED KINGDOM,,,OVER 272001,AEROPLANE,BOEING,747-400,BRITISH AIRWAYS,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,EGLL - HEATHROW INTL. ARPT,KJFK - JOHN F KENNEDY INTL. ARPT,NONE,2019-03-29T13:28:51
A04A0057,A04A0057_1,C-GCJB,CANADA,1979,83008,27001-272000,AEROPLANE,BOEING,727-200,CARGOJET AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHM HAMILTON,CYQM MONCTON/GREATER MONCTON INTL,MINOR,2019-03-29T13:28:51
A04A0058,A04A0058_1,N1613B,UNITED STATES,2001,187000,27001-272000,AEROPLANE,BOEING,767-300,DELTA AIR LINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KJFK JOHN F KENNEDY INTL,LEBL BARCELONA,NONE,2019-03-29T13:28:51
A04A0059,A04A0059_1,C-FBAF,CANADA,1988,42185,27001-272000,AEROPLANE,BRITISH AEROSPACE,BAE 146-200,JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYUL MONTREAL PIERRE E TRUDEAU,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0062,A04A0062_1,C-GAHB,CANADA,1992,,27001-272000,AEROPLANE,BOEING,737-500,CANJET AIRLINES,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYUL MONTREAL PIERRE ELLIOT TRUDEAU,CYHZ HALIFAX INTERNATIONAL,NONE,2019-03-29T13:28:51
A04A0062,A04A0062_2,I-DISO,ITALY,,,OVER 272001,AEROPLANE,BOEING,777-200,ALITALIA,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,LIRF ROME,KEWR NEWARK,NONE,2019-03-29T13:28:51
A04A0064,A04A0064_1,C-FKPT,CANADA,1991,75500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO / LESTER B. PEARSON INTL.,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0064,A04A0064_2,C-GSAB,CANADA,1980,9298,5701-27000,HELICOPTER,SIKORSKY,S-61N,CANADIAN HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,ROWAN GORILLA OIL RIG,NONE,2019-03-29T13:28:51
A04A0069,A04A0069_1,N70LF,UNITED STATES,1996,22226,5701-27000,AEROPLANE,DASSAULT-BREGUET,FALCON 900,,PRIVATE,,N/A,AIR TRANSPORT,KASTRUP (EKCH),"TETERBORO AIRPORT, NEW JERSEY (KTEB)",NONE,2019-03-29T13:28:51
A04A0070,A04A0070_1,N789AN,UNITED STATES,2000,231975,27001-272000,AEROPLANE,BOEING,777-200,AMERICAN AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KENNEDY (KJFK),HEATHROW (EGLL),NONE,2019-03-29T13:28:51
A04A0071,A04A0071_1,N287KB,UNITED STATES,1987,,27001-272000,AEROPLANE,MCDONNELL DOUGLAS,MD-90,KEB AIRCRAFT SALES INC,PRIVATE,,N/A,BUSINESS,STOCKTON CALIFORNIA (KSCK),CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0071,A04A0071_2,,CANADA,,,5701-27000,AEROPLANE,BEECH,1900,UNKNOWN,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYQM MONCTON,NONE,2019-03-29T13:28:51
A04A0072,A04A0072_1,C-GLHO,CANADA,1997,7766,5701-27000,AEROPLANE,BEECH,1900D,LABRADOR AIRWAYS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYT ST. JOHN`S INTL,CYAY ST. ANTHONY,NONE,2019-03-29T13:28:51
A04A0075,A04A0075_1,C-FJCZ,CANADA,1992,6033,5701-27000,AEROPLANE,CESSNA,550,TRANSPORT CANADA,STATE,N/A,PROVINCIAL,OTHER,CYNA NATASHQUAN,CYQM MONCTON/GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A04A0075,A04A0075_2,C-GQQQ,CANADA,1979,1723,0-2250,AEROPLANE,PIPER,PA-44,MONCTON FLIGHT COLLEGE,OTHER,N/A,N/A,TRAINING,CYQM MONCTON/GREATER MONCTON INTL,CYQM MONCTON/GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A04A0078,A04A0078_1,C-FMUL,CANADA,1997,975,0-2250,AEROPLANE,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,CYTN TRENTON,CYTN TRENTON,SUBSTANTIAL,2019-03-29T13:28:51
A04A0079,A04A0079_1,C-GSTL,CANADA,1980,449,0-2250,GLIDER,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,CCW4 STANLEY,CCW4 STANLEY,DESTROYED,2019-03-29T13:28:51
A04A0082,A04A0082_1,C-FWQI,CANADA,1997,635,0-2250,AEROPLANE,,,,PRIVATE,,N/A,OTHER,CYCL CHARLO,CYCL CHARLO,SUBSTANTIAL,2019-03-29T13:28:51
A04A0086,A04A0086_1,C-GVPP,CANADA,1982,19958,5701-27000,AEROPLANE,DE HAVILLAND,DHC-7-100,TRANS CAPITAL AIR,COMMERCIAL,705 - AIRLINER,N/A,FERRY,CYYR - GOOSE BAY,BGBW - NARSSARSSUAQ,NONE,2019-03-29T13:28:51
A04A0087,A04A0087_1,C-IDKO,CANADA,,,0-2250,BASIC ULTRALIGHT,QUAD CITY ULTRALIGHT AIRCRAFT,CHALLENGER II/A,,PRIVATE,,N/A,OTHER,CYES EDMUNDSTON,CYES EDMUNDSTON,SUBSTANTIAL,2019-03-29T13:28:51
A04A0088,A04A0088_1,C-FIMY,CANADA,1973,1497,0-2250,AEROPLANE,CESSNA,188 B,FOREST PROTECTION,COMMERCIAL,702 - AERIAL WORK,N/A,APPLICATION,DEER LAKE,DEER LAKE,SUBSTANTIAL,2019-03-29T13:28:51
A04A0089,A04A0089_1,G-VIIN,UNITED KINGDOM,1998,,OVER 272001,AEROPLANE,BOEING,777-200,BRITISH AIRWAYS,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,LONDON HEATHROW EGLL,PHILIDELPHIA INTL KPHL,NONE,2019-03-29T13:28:51
A04A0090,A04A0090_1,D-AIGZ,GERMANY,2000,,27001-272000,AEROPLANE,AIRBUS,A340-300,LUFTHANSA GERMAN AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,DETROIT METROPOLITAN WAYNE CO. KDTW,FRANKFURT MAIN EDDF,NONE,2019-03-29T13:28:51
A04A0091,A04A0091_1,C-FZUH,CANADA,1997,70000,27001-272000,AEROPLANE,AIRBUS,A319-100,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,TORONTO LBPIA CYYZ,HALIFAX CYHZ,,2019-03-29T13:28:51
A04A0092,A04A0092_1,C-FZWS,CANADA,2001,68040,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYQM MONCTON/GREATER MONCTON INTL,CYYZ TORONTO LBPIA,NONE,2019-03-29T13:28:51
A04A0093,A04A0093_1,G-YMMB,UNITED KINGDOM,2000,,OVER 272001,AEROPLANE,BOEING,777-200,BRITISH AIRWAYS,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KDEN DENVER,EGLL LONDON HEATHROW,NONE,2019-03-29T13:28:51
A04A0094,A04A0094_1,C-GVDZ,CANADA,1984,476,0-2250,AEROPLANE,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,CYTN TRENTON ARPT,CYTN TRENTON ARPT,SUBSTANTIAL,2019-03-29T13:28:51
A04A0095,A04A0095_1,,GERMANY,,,OVER 272001,AEROPLANE,BOEING,747-400,LUFTHANSA,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,EDDF FRANKFURT/MAIN INTL,KORD CHICAGO/O'HARE INTL,NONE,2019-03-29T13:28:51
