OccNo,OccYear,OccDate,OccClassID,OccType,IncidentType,Country,ProvinceState,Ocean,Location,Distance,Airport,ICAO,Latitude,Longitude,CrewFatal,PassengerFatal,GroundFatal,CrewSerious,PassengerSerious,GroundSerious,DGReleaseIND,AircraftType_1,AircraftMake_1,Organization_1,OperatorType_1,RegCountry_1,AircraftType_2,AircraftMake_2,Organization_2,OperatorType_2,RegCountry_2,AircraftType_3,AircraftMake_3,Organization_3,OperatorType_3,RegCountry_3,AircraftType_4,AircraftMake_4,Organization_4,OperatorType_4,RegCountry_4,AircraftType_5,AircraftMake_5,Organization_5,OperatorType_5,RegCountry_5,AircraftType_6,AircraftMake_6,Organization_6,OperatorType_6,RegCountry_6,PRODUCTION_DT
A04A0003,2004,2004-01-12,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEW BRUNSWICK,N/A,Fredericton,,Fredericton Intl,CYFC,45.86666,-66.5333,0,0,0,0,0,0,NO,AEROPLANE,PIPER,CAPITAL AIRWAYS INC.,COMMERCIAL,CANADA,AEROPLANE,CANADAIR,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0005,2004,2004-01-15,5,INCIDENT REPORTABLE,TRANSMISSION GEARBOX,CANADA,NOVA SCOTIA,N/A,Halifax,15.000000000000000,Stanfield Intl,CYHZ,44.78333,-63.15,0,0,0,0,0,0,NO,HELICOPTER,SIKORSKY,CANADIAN HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0006,2004,2004-01-19,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,ST. JOHN'S,40.000000000000000,ST. JOHN'S INTL,CYYT,47.61666,-50,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0007,2004,2004-01-26,5,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,GRAND HARBOUR,,GRAND MANAN,CCN2,44.71666,-66.8,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,MANAN AIR SERVICES INC,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0008,2004,2004-01-23,5,INCIDENT REPORTABLE,ENGINE,CANADA,PRINCE EDWARD ISLAND,N/A,CHARLOTTETOWN,30.000000000000000,CHARLOTTETOWN,CYYG,46.28333,-65.4166,0,0,0,0,0,0,NO,AEROPLANE,DASSAULT-BREGUET,COMPASS FOODS INC,CORPORATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0009,2004,2004-02-01,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,"SYDNEY, 150 NM S",,,,44.33333,-59,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CONNIE KALITTA SERVICES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0011,2004,2004-02-04,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0014,2004,2004-02-13,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,TRANSPORTS CANADA,STATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0015,2004,2004-02-15,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEW BRUNSWICK,N/A,Fredericton,,Fredericton Intl,CYFC,45.86666,-66.5333,0,0,0,0,0,0,NO,AEROPLANE,CANADAIR,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0018,2004,2004-02-18,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,GREENWOOD,,GREENWOOD,CYZX,44.98333,-64.9166,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CARGOJET AIRWAYS LTD.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
